Rank,LastName,Initial,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1,LeMahieu,D,COL,2B,146,552,104,192,32,8,11,66,66,80,11,7,0.348,0.416,0.495,0.911
2,Murphy,D,WSH,2B,142,531,88,184,47,5,25,104,35,57,5,3,0.347,0.390,0.595,0.985
3,Altuve,J,HOU,2B,161,640,108,216,42,5,24,96,60,70,30,10,0.338,0.396,0.531,0.928
4,Votto,J,CIN,1B,158,556,101,181,34,2,29,97,108,120,8,1,0.326,0.434,0.550,0.985
5,Blackmon,C,COL,CF,143,578,111,187,35,5,29,82,43,102,17,9,0.324,0.381,0.552,0.933
6,Segura,J,ARI,2B,153,637,102,203,41,7,20,64,39,101,33,10,0.319,0.368,0.499,0.867
7,Betts,M,BOS,RF,158,672,122,214,42,5,31,113,49,80,26,4,0.318,0.363,0.534,0.897
8,Pedroia,D,BOS,2B,154,633,105,201,36,1,15,74,61,73,7,4,0.318,0.376,0.449,0.825
9,Cabrera,M,DET,1B,158,595,92,188,31,1,38,108,75,116,0,0,0.316,0.393,0.563,0.956
10,Trout,M,LAA,CF,159,549,123,173,32,5,29,100,116,137,30,7,0.315,0.441,0.550,0.991
11,Ortiz,D,BOS,DH,151,537,79,169,48,1,38,127,80,86,2,0,0.315,0.401,0.620,1.021
12,Ramirez,J,CLE,3B,152,565,84,176,46,3,11,76,44,62,22,7,0.312,0.363,0.462,0.825
13,Marte,S,PIT,LF,129,489,71,152,34,5,9,46,23,104,47,12,0.311,0.362,0.456,0.818
14,Seager,C,LAD,SS,157,627,105,193,40,5,26,72,54,133,3,3,0.308,0.365,0.512,0.877
15,Molina,Y,STL,C,147,534,56,164,38,1,8,58,39,63,3,2,0.307,0.360,0.427,0.787
16,Ramos,W,WSH,C,131,482,58,148,25,0,22,80,35,79,0,0,0.307,0.354,0.496,0.850
17,Martinez,J,DET,RF,120,460,69,141,35,2,22,68,49,128,1,2,0.307,0.373,0.535,0.908
18,Braun,R,MIL,LF,135,511,80,156,23,3,30,91,46,98,16,5,0.305,0.365,0.538,0.903
19,Prado,M,MIA,3B,153,600,70,183,37,3,8,75,49,69,2,2,0.305,0.359,0.417,0.775
20,Escobar,Y,LAA,3B,132,517,68,157,28,1,5,39,40,67,0,3,0.304,0.355,0.391,0.745
21,Realmuto,J,MIA,C,137,509,60,154,31,0,11,48,28,100,12,4,0.303,0.343,0.428,0.771
22,Andrus,E,TEX,SS,147,506,75,153,31,7,8,69,47,70,24,8,0.302,0.362,0.439,0.800
23,Freeman,F,ATL,1B,158,589,102,178,43,6,34,91,89,171,6,1,0.302,0.400,0.569,0.968
24,Lindor,F,CLE,SS,158,604,99,182,30,3,15,78,57,88,19,5,0.301,0.358,0.435,0.794
25,Beltre,A,TEX,3B,153,583,89,175,31,1,32,104,48,66,1,1,0.300,0.358,0.521,0.879
26,Gonzalez,C,COL,RF,150,584,87,174,42,2,25,100,46,129,2,2,0.298,0.350,0.505,0.855
27,Cano,R,SEA,2B,161,655,107,195,33,2,39,103,47,100,0,1,0.298,0.350,0.533,0.882
28,Yelich,C,MIA,LF,155,578,78,172,38,3,21,98,72,138,9,4,0.298,0.376,0.483,0.859
29,Goldschmidt,P,ARI,1B,158,579,106,172,33,3,24,95,110,150,32,5,0.297,0.411,0.489,0.899
30,Cabrera,M,CWS,LF,151,591,70,175,42,5,14,86,47,69,2,0,0.296,0.345,0.455,0.800
31,Beltran,C,TEX,DH,151,552,73,163,33,0,29,93,35,101,1,0,0.295,0.337,0.513,0.850
32,Arenado,N,COL,3B,160,618,116,182,35,6,41,133,68,103,2,3,0.294,0.362,0.570,0.932
33,Bogaerts,X,BOS,SS,157,652,115,192,34,1,21,89,58,123,13,4,0.294,0.356,0.446,0.802
34,Hernandez,C,PHI,2B,155,547,67,161,14,11,6,39,66,116,17,13,0.294,0.371,0.393,0.764
