LastName Initial
  LeMahieu D
  Murphy D
  Altuve J
  Votto J
  Blackmon C
  Segura J
  Betts M
  Pedroia D
  Cabrera M
  Trout M
  Ortiz D
  Ramirez J
  Marte S
  Seager C
  Molina Y
  Ramos W
  Martinez J
  Braun R
  Prado M
  Escobar Y
  Realmuto J
  Andrus E
  Freeman F
  Lindor F
  Beltre A
  Gonzalez C
  Cano R
  Yelich C
  Goldschmidt P
  Cabrera M
  Beltran C
  Arenado N
  Bogaerts X
  Hernandez C
  Machado M
  Abreu J
  Bryant K
  Lucroy J
  Rizzo A
  Inciarte E
  Phillips B
  Martinez V
  Kinsler I
  Posey B
  Nunez E
  Cruz N
  Valencia D
  Herrera O
  Ramirez H
  Villar J
  Gonzalez A
  Desmond I
  Eaton A
  Donaldson J
  Harrison J
  Cabrera A
  Cespedes Y
  Seager K
  Pagan A
  Fowler D
  Gregorius D
  Kipnis J
  Turner J
  Belt B
  Crawford B
  Correa C
  Cuthbert C
  Longoria E
  Piscotty S
  Garcia A
  Tomas Y
  Zobrist B
  Odor R
  Calhoun K
  Carpenter M
  Castro S
  Rendon A
  Markakis N
  Dozier B
  Pujols A
  Kemp M
  Bradley J
  Schoop J
  Pillar K
  Hosmer E
  Span D
  Ozuna M
  Mazara N
  Jones A
  Forsythe L
  Morales K
  Ellsbury J
  Gennett S
  Encarnacion E
  Gardner B
  Mauer J
  Springer G
  Escobar A
  Santana C
  Myers W
  Polanco G
  Mercer J
  Trumbo M
  McCutchen A
  Iglesias J
  Franco M
  Kendrick H
  Gonzalez M
  Tulowitzki T
  Alonso Y
  Saunders M
  Headley C
  Cozart Z
  Utley C
  Vogt S
  Bruce J
  Lamb J
  Suarez E
  Martin L
  Perez S
  Davis K
  Upton J
  Dickerson C
  Werth J
  Harper B
  Miller B
  Shaw T
  Galvis F
  Duvall A
  Ramirez A
  Panik J
  Napoli M
  Russell A
  Upton M
  Semien M
  Granderson C
  Hechavarria A
  Bautista J
  Moreland M
  Martin R
  Heyward J
  Frazier T
  Carter C
  Davis C
  Gordon A
  Espinosa D
