Year,Month,Day,Hour,Min,Sec,Magnitude,Latitude,Longitude,DepthKm,IRISID,Timestamp
2016,11,14,16,15,48,5.0,35.90,140.82,50.5,5197862,1479140148
2016,11,13,11,04,54,4.9,28.23,143.59,10.0,5197736,1479035094
2016,11,11,21,42,59,6.2,38.50,141.56,44.8,5197585,1478900579
2016,11,11,04,53,37,4.7,34.44,136.85,348.2,5197540,1478840017
2016,11,10,10,57,47,4.7,13.85,145.38,97.5,5197588,1478775467
2016,11,09,22,20,41,5.1,38.77,142.13,42.1,5197447,1478730041
2016,11,06,02,37,36,4.7,56.21,156.94,15.8,5197085,1478399856
2016,11,05,03,54,09,4.9,14.04,145.35,83.6,5197025,1478318049
2016,11,05,00,53,32,4.7,12.06,143.81,35.0,5197016,1478307212
2016,11,01,22,37,32,4.9,37.53,141.71,12.7,5196782,1478039852
2016,11,01,13,37,43,4.7,33.21,140.82,54.3,5196758,1478007463
2016,10,29,07,17,13,4.7,39.34,143.46,15.5,5196545,1477725433
2016,10,25,20,04,25,4.7,22.22,143.83,103.0,5196305,1477425865
2016,10,25,12,41,51,4.7,7.87,137.22,71.5,5196278,1477399311
2016,10,25,10,45,22,4.8,43.96,148.06,48.7,5196271,1477392322
2016,10,24,20,52,17,4.9,40.20,143.85,10.0,5196235,1477342337
2016,10,24,03,01,15,4.7,45.24,150.57,39.7,5196186,1477278075
2016,10,24,00,28,57,4.8,40.21,143.93,34.7,5196172,1477268937
2016,10,23,20,25,26,5.8,43.98,148.16,29.7,5196155,1477254326
2016,10,23,11,46,14,5.0,23.18,142.10,42.0,5197115,1477223174
2016,10,22,02,00,37,4.8,12.40,144.11,10.0,5196089,1477101637
2016,10,21,18,08,36,4.7,28.83,138.76,493.8,5196066,1477073316
2016,10,21,08,44,50,4.8,43.62,148.39,38.0,5196039,1477039490
2016,10,20,06,25,56,5.7,22.27,143.76,107.9,5195975,1476944756
2016,10,20,02,49,54,5.4,35.86,140.59,26.3,5195972,1476931794
2016,10,16,07,37,03,5.1,38.30,141.53,14.2,5195761,1476603423
2016,10,14,06,28,20,4.7,15.20,147.28,49.2,5195615,1476426500
2016,10,13,18,55,09,5.0,25.12,143.27,10.0,5195645,1476384909
2016,10,12,16,09,53,4.7,30.58,142.13,10.0,5196257,1476288593
2016,10,12,10,39,15,5.1,10.73,144.78,21.1,5195525,1476268755
2016,10,11,23,05,32,4.8,34.20,140.34,77.0,5195504,1476227132
2016,10,11,19,02,26,4.9,42.25,143.08,58.8,5195492,1476212546
2016,10,08,18,10,13,5.4,20.01,146.78,10.0,5195341,1475950213
2016,10,06,10,23,00,4.8,30.50,142.26,10.0,5195228,1475749380
2016,10,05,21,26,33,4.9,34.69,141.91,10.0,5195187,1475702793
2016,10,04,14,00,47,5.7,27.85,141.94,35.0,5195120,1475589647
2016,10,04,12,17,45,4.7,34.67,141.47,22.8,5195115,1475583465
2016,10,04,12,13,51,5.1,34.73,141.43,35.0,5195114,1475583231
2016,10,01,09,40,23,4.9,34.74,141.62,10.0,5194937,1475314823
2016,09,30,11,48,28,4.9,12.06,140.47,10.0,5194875,1475236108
2016,09,29,23,21,02,5.0,34.52,141.74,10.0,5194835,1475191262
2016,09,28,23,49,34,5.0,15.77,147.46,10.0,5194715,1475106574
2016,09,28,16,32,58,4.8,44.00,148.44,43.0,5194684,1475080378
2016,09,28,12,50,34,5.0,20.97,144.55,44.6,5194668,1475067034
2016,09,27,16,22,57,5.0,17.53,145.67,485.5,5194570,1474993377
2016,09,26,18,52,25,4.9,45.20,147.00,38.4,5194486,1474915945
2016,09,26,05,13,25,5.2,41.66,143.10,30.8,5194410,1474866805
2016,09,26,02,24,38,5.0,41.89,142.22,65.0,5194392,1474856678
2016,09,24,10,52,07,4.9,34.57,141.76,10.0,5194281,1474714327
2016,09,24,10,20,45,4.9,34.48,141.79,10.0,5194278,1474712445
2016,09,23,15,05,16,5.2,30.46,142.04,35.0,5194203,1474643116
2016,09,23,12,04,55,4.9,34.54,141.74,35.0,5194192,1474632295
2016,09,23,10,28,25,5.2,34.66,141.26,35.0,5194188,1474626505
2016,09,23,06,46,04,4.7,34.55,141.70,26.3,5194181,1474613164
2016,09,23,06,13,24,5.1,35.02,141.40,37.9,5194171,1474611204
2016,09,23,05,34,30,5.2,34.48,141.96,10.0,5194168,1474608870
2016,09,23,00,42,33,4.9,34.50,141.96,10.0,5194142,1474591353
2016,09,23,00,14,34,6.2,34.49,141.66,10.0,5194139,1474589674
2016,09,22,16,20,35,4.7,34.44,141.74,23.9,5194112,1474561235
2016,09,22,15,57,08,5.3,34.39,141.80,29.9,5194109,1474559828
2016,09,22,15,56,05,5.3,34.48,141.81,10.0,5194106,1474559765
2016,09,22,10,21,57,4.7,34.46,141.84,10.0,5194065,1474539717
2016,09,20,20,06,32,4.7,30.59,142.68,27.1,5193867,1474401992
2016,09,20,16,21,16,6.1,30.54,142.08,10.0,5193839,1474388476
2016,09,19,23,46,49,4.8,39.26,142.48,47.6,5193784,1474328809
2016,09,16,23,28,25,4.7,48.49,154.66,55.8,5193524,1474068505
2016,09,14,06,21,19,4.7,47.46,153.71,56.6,5193208,1473834079
2016,09,13,10,12,27,5.2,35.89,139.75,78.0,5193100,1473761547
2016,09,12,13,39,19,4.7,18.85,146.25,85.8,5193015,1473687559
2016,09,09,11,53,16,5.2,36.39,141.09,31.3,5192738,1473421996
2016,09,08,12,13,52,5.2,44.47,149.16,32.4,5192677,1473336832
2016,09,08,05,10,45,4.7,31.24,138.44,355.1,5192644,1473311445
2016,09,07,09,42,02,4.9,42.34,142.82,102.9,5192555,1473241322
2016,09,07,04,28,49,4.9,36.19,140.06,47.6,5192529,1473222529
2016,09,06,21,22,07,4.7,13.12,145.47,39.1,5192499,1473196927
2016,09,05,10,21,52,4.7,13.06,145.27,43.0,5192366,1473070912
2016,09,04,15,40,19,5.0,49.75,155.79,52.2,5192311,1473003619
2016,09,03,14,04,47,5.5,20.28,147.40,10.0,5192232,1472911487
2016,09,03,12,26,43,5.0,31.45,138.49,326.7,5192225,1472905603
2016,09,02,13,29,37,5.3,34.46,141.51,10.0,5192143,1472822977
2016,09,02,05,33,53,4.8,35.06,141.21,56.6,5192116,1472794433
2016,09,01,06,00,08,5.1,46.71,153.82,10.0,5192015,1472709608
2016,08,30,20,04,47,4.9,36.33,141.80,22.5,5191883,1472587487
2016,08,30,08,07,40,4.8,37.42,141.74,54.2,5191841,1472544460
2016,08,25,17,04,43,5.9,30.62,137.85,456.0,5191455,1472144683
2016,08,25,05,28,48,4.7,45.32,150.78,60.4,5191409,1472102928
2016,08,22,09,33,08,5.6,29.90,139.13,404.4,5191146,1471858388
2016,08,22,06,11,08,5.3,38.32,142.13,35.0,5191142,1471846268
2016,08,21,23,13,11,5.1,39.77,143.58,16.2,5191107,1471821191
2016,08,21,14,55,17,5.1,18.47,145.57,204.9,5191088,1471791317
2016,08,21,12,49,14,5.1,40.69,143.75,13.3,5191085,1471783754
2016,08,21,12,46,57,5.0,28.53,141.75,63.5,5191084,1471783617
2016,08,20,16,28,11,5.3,40.23,143.90,10.0,5191010,1471710491
2016,08,20,16,10,34,5.3,40.44,143.82,10.0,5191009,1471709434
2016,08,20,15,58,04,6.0,40.29,143.75,10.0,5191007,1471708684
2016,08,20,09,01,26,6.0,40.36,143.68,10.0,5190988,1471683686
2016,08,20,05,14,56,5.3,39.56,143.54,13.3,5190978,1471670096
2016,08,19,12,07,42,5.3,36.66,141.19,36.5,5190927,1471608462
2016,08,16,23,57,58,4.9,18.45,145.75,196.2,5190664,1471391878
2016,08,15,15,28,07,4.7,45.84,142.88,46.9,5190575,1471274887
2016,08,15,08,23,08,4.7,50.45,142.32,10.0,5190537,1471249388
2016,08,15,07,04,41,5.6,37.41,141.74,32.7,5190534,1471244681
2016,08,14,18,49,16,4.7,37.49,141.51,41.6,5190496,1471200556
2016,08,14,11,15,14,5.7,50.43,142.30,5.8,5190468,1471173314
2016,08,13,20,15,06,5.1,34.50,140.35,33.1,5190423,1471119306
2016,08,10,14,58,21,4.8,18.75,145.58,205.5,5190161,1470841101
2016,08,10,12,17,26,4.7,52.85,159.47,66.0,5190147,1470831446
2016,08,10,09,04,19,4.8,25.06,141.94,10.0,5190135,1470819859
2016,08,09,15,34,05,4.8,18.34,146.08,129.0,5190067,1470756845
2016,08,08,18,11,05,5.1,18.32,145.57,200.2,5190017,1470679865
2016,08,07,14,12,25,4.7,47.47,156.25,10.0,5189969,1470579145
2016,08,07,14,12,19,4.7,46.92,155.70,10.0,5190010,1470579139
2016,08,04,16,24,33,6.3,24.95,142.01,510.0,5189735,1470327873
2016,07,30,22,28,18,4.9,18.59,145.66,197.0,5189320,1469917698
2016,07,29,22,18,28,4.9,18.66,145.66,196.4,5189235,1469830708
2016,07,29,21,18,25,7.7,18.52,145.53,212.4,5189231,1469827105
2016,07,28,21,55,40,4.9,44.77,149.09,58.2,5189176,1469742940
2016,07,27,14,47,16,5.4,36.48,140.66,46.7,5189061,1469630836
2016,07,24,18,03,34,5.4,46.04,150.88,113.0,5188775,1469383414
2016,07,24,02,51,19,5.3,42.90,143.32,93.0,5188714,1469328679
2016,07,23,01,00,21,5.7,47.71,146.95,407.4,5188655,1469235621
2016,07,21,14,17,44,4.7,28.49,141.50,58.7,5188529,1469110664
2016,07,19,23,50,21,5.0,39.35,142.20,40.3,5188359,1468972221
2016,07,19,22,25,32,5.0,35.99,140.04,39.0,5188354,1468967132
2016,07,19,03,57,50,4.8,35.36,140.39,23.2,5188282,1468900670
2016,07,17,09,43,25,4.7,34.39,137.12,339.0,5188129,1468748605
2016,07,17,04,24,02,5.0,36.03,139.96,43.6,5188103,1468729442
2016,07,16,13,12,50,4.8,40.39,140.94,15.2,5188057,1468674770
2016,07,16,08,21,25,5.0,16.57,145.84,133.5,5188038,1468657285
