Year,Month,Day,Hour,Min,Sec,Magnitude,Latitude,Longitude,DepthKm,IRISID,Timestamp
2016,11,18,20,54,46,5.5,-28.26,-176.87,10.0,5198243,1479502486
2016,11,18,14,22,56,5.1,-42.62,173.29,9.4,5198234,1479478976
2016,11,17,21,27,01,4.8,-42.33,173.99,10.0,5198176,1479418021
2016,11,16,23,39,41,4.7,-41.79,174.32,19.4,5198075,1479339581
2016,11,16,23,13,36,4.9,-42.29,173.89,15.5,5198074,1479338016
2016,11,16,20,26,15,5.5,-22.13,-177.62,305.1,5198047,1479327975
2016,11,16,00,30,28,5.9,-20.20,-172.96,10.0,5197969,1479256228
2016,11,15,19,53,00,4.9,-41.80,174.54,11.8,5197948,1479239580
2016,11,15,06,30,30,5.4,-42.35,173.94,10.0,5197907,1479191430
2016,11,15,05,09,27,5.1,-42.31,173.69,21.5,5197900,1479186567
2016,11,15,04,12,44,5.1,-42.57,173.97,10.0,5197898,1479183164
2016,11,15,01,43,52,4.8,-41.72,174.22,11.2,5197889,1479174232
2016,11,15,01,34,44,5.4,-41.81,174.32,10.0,5197888,1479173684
2016,11,14,19,17,30,5.1,-42.36,173.89,8.7,5197861,1479151050
2016,11,14,15,54,55,4.9,-42.51,173.07,10.0,5197925,1479138895
2016,11,14,13,21,06,4.8,-41.72,174.27,16.3,5197867,1479129666
2016,11,14,11,14,20,4.7,-41.73,174.24,15.5,5197828,1479122060
2016,11,14,08,38,58,4.8,-20.75,-178.51,570.8,5197823,1479112738
2016,11,14,07,33,05,4.8,-20.61,-173.80,10.0,5197821,1479108785
2016,11,14,07,21,05,5.3,-41.76,174.28,20.2,5197817,1479108065
2016,11,14,06,47,52,5.8,-42.35,173.86,14.8,5197814,1479106072
2016,11,14,06,42,58,5.1,-41.87,174.37,8.8,5197813,1479105778
2016,11,14,05,16,31,4.8,-42.41,173.54,23.5,5197819,1479100591
2016,11,14,01,30,11,5.4,-42.46,173.90,10.0,5197789,1479087011
2016,11,14,01,28,21,5.2,-42.07,173.93,10.0,5197787,1479086901
2016,11,14,00,34,22,6.5,-42.59,173.28,10.0,5197785,1479083662
2016,11,13,23,49,10,5.2,-41.79,174.47,10.0,5197778,1479080950
2016,11,13,23,17,33,5.0,-42.09,173.81,11.9,5197777,1479079053
2016,11,13,22,19,32,5.1,-42.35,173.06,10.0,5197774,1479075572
2016,11,13,20,22,13,4.9,-42.29,173.81,10.0,5197759,1479068533
2016,11,13,20,14,50,4.9,-42.37,173.89,10.0,5197758,1479068090
2016,11,13,19,28,44,5.1,-41.73,174.34,8.0,5197756,1479065324
2016,11,13,18,59,07,5.1,-42.36,173.99,10.0,5197752,1479063547
2016,11,13,18,49,24,4.7,-41.99,174.02,10.0,5197771,1479062964
2016,11,13,18,34,26,4.8,-41.92,174.22,10.0,5197750,1479062066
2016,11,13,18,16,36,4.9,-42.64,173.23,10.0,5197749,1479060996
2016,11,13,17,17,38,5.2,-42.54,173.82,10.0,5197763,1479057458
